,,,,,,,,
Programme,LIEN,NBLM,AUDIO,INFO,PDF,SLIDE,VIDEO,Suivi
039_DGT_B2_M03_S001 - La planification d'un projet web,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=128151,,,,https://drive.google.com/file/d/1TbVH_B3dAom3kN4MPj37UJcoZyhdZyQG/view?usp=drivesdk,,,"37,50%"
040_DGT_B2_M03_S002 - Le rôle de la note de cadrage,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=109515,,,,https://drive.google.com/file/d/17lQMFPMk9R4Xjh0NvjaQ56VkE3q7uwOy/view?usp=drivesdk,,,"37,50%"
041_DGT_B2_M03_S003 - La rédaction d'un cahier des charges,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=109554,,,,https://drive.google.com/file/d/1O3ZuKKUTzeCKN8EUihxQVqf8wsozHpNo/view?usp=drivesdk,,,"37,50%"
042_DGT_B2_M03_S004 - Les acteurs et les ressources du projet,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=109177,,,,https://drive.google.com/file/d/1hKIUzOFYtfYKgZXIxD_uPQJzahTjcf9w/view?usp=drivesdk,,,"37,50%"
043_DGT_B2_M03_S005 - Identifier et sélectionner les prestataires et les fournisseurs adaptés aux besoins du projet,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=120361,,,,https://drive.google.com/file/d/1LDqvP-2dRpoZvTETddkIIutK5MymYxZf/view?usp=drivesdk,,,"37,50%"
044_DGT_B2_M03_S006 - La construction d'un tableau de bord opérationnel,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70342&themeId=107256,,,,https://drive.google.com/file/d/1bBAZDxXJGr4qf9ZyPN4_IbxOovgP8sz7/view?usp=drivesdk,,,"37,50%"
045_DGT_B2_M04_S001 - Le budget digital et les décisions d’investissement,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70343&themeId=128146,https://notebooklm.google.com/notebook/38d3d573-decd-44cc-be8f-eb42d04d3efc,https://drive.google.com/file/d/16q8aT7AF88EbdVhT9TbncymuBdshPXzG/view?usp=drivesdk,https://drive.google.com/file/d/19Ogl6Engj0jszAvNhupW-wjHOL_8xwn_/view?usp=drivesdk,https://drive.google.com/file/d/1fkWj1WxeYrUPKh_qKVEV-LRR4rJlPzoW/view?usp=drivesdk,https://docs.google.com/presentation/d/1l8SKsddXx2MjMbO4zLV5HHvS3ZMApl7C/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/1SV6Jo_KfpbYIGSk3IHKqtnTw2uKLbz8x/view?usp=drivesdk,"100,00%"
046_DGT_B2_M04_S002 - Calculer la rentabilité d’un projet digital,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70343&themeId=128147,https://notebooklm.google.com/notebook/e6e37989-d264-4e51-940a-b22520583833,https://drive.google.com/file/d/1WtXPdoD0opzcw-nCXgiN_IBcFLJlpQ2M/view?usp=drivesdk,https://drive.google.com/file/d/19QDNpHt_cqrWzp9FIT7WFy3RKjushg1O/view?usp=drivesdk,https://drive.google.com/file/d/1at4mOa8qxRiKLv0t6q4FU0W1W1nB8LFd/view?usp=drivesdk,https://drive.google.com/file/d/1hUvteo5G9iUxozmH8DC801CsLlhe4M7D/view?usp=drivesdk,https://drive.google.com/file/d/1ODWkRTVHDGkeHQOK0WgYx0RKybO4pysM/view?usp=drivesdk,"100,00%"
047_DGT_B2_M04_S003 - L'Executive Summary d'un projet d'innovation,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70343&themeId=128148,https://notebooklm.google.com/notebook/1328ae53-5c51-44a2-b3dd-76599bb328ed,https://drive.google.com/file/d/1LxMlls-H0DTz8-251nzY2q6vwvx8KSdJ/view?usp=drivesdk,https://drive.google.com/file/d/1rr4S5KypzXK01TRokjwnU-ZFmqrMsQCv/view?usp=drivesdk,https://drive.google.com/file/d/1cJOOuaEGn8H9WrMCfH-WvjDMFpUbRujT/view?usp=drivesdk,https://docs.google.com/presentation/d/1ICc5Y_wGetDXde-hPIB5HFlkwD1VXYKk/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/1-FFP6nVB4Pe3yDEQACNfLq1KSArmKZVQ/view?usp=drivesdk,"100,00%"
048_DGT_B2_M05_S001 - La préparation et la structuration du business plan,https://app.studi.fr/v3/medialibrary/lib/resources?promotionId=4416&subjectId=49475&moduleId=70344&themeId=109067,https://notebooklm.google.com/notebook/207f5130-22f3-4658-af0e-0b257ab9e168,https://drive.google.com/file/d/1CSDby_xayMMDGfH3aejkvTBTAeaxsBGH/view?usp=drivesdk,https://drive.google.com/file/d/1a6Cgj3k3oqNWh3ejKNeTUnFyXpFgxwM1/view?usp=drivesdk,https://drive.google.com/file/d/1efrCUKJyJowlD8uPNjaXj-3UFKmpZrOj/view?usp=drivesdk,https://docs.google.com/presentation/d/1wuwoR-T6alfu_pLdnvlLxMd1aNkoqKu9/edit?usp=drivesdk&ouid=108746249066667293401&rtpof=true&sd=true,https://drive.google.com/file/d/16PgiqDrQ7wIPPaMZH8E3theOH3HiE-uL/view?usp=drivesdk,"100,00%"
